SESEq
             [,1]       [,2]       [,3]        [,4]
  [1,] 0.51446120 1.77277469 1.05377133 0.053970036
  [2,] 0.54665410 1.86119615 1.34948197 0.057659895
  [3,] 0.25628074 0.63410263 0.67573138 0.045524494
  [4,] 0.24602770 0.60705471 0.62686554 0.042075613
  [5,] 0.23186993 0.57277894 0.58034545 0.035585639
  [6,] 0.24119728 0.59671379 0.50500816 0.029445350
  [7,] 0.22998416 0.56892596 0.46256105 0.026470819
  [8,] 0.22039385 0.54532552 0.44318451 0.024202120
  [9,] 0.19106721 0.40206170 0.35960823 0.022391671
 [10,] 0.19243220 0.40447939 0.36353285 0.022660532
 [11,] 0.22285370 0.46846054 0.40299022 0.022423626
 [12,] 0.24504495 0.51540797 0.39399294 0.021179837
 [13,] 0.24090218 0.50657678 0.38676170 0.020711121
 [14,] 0.24836706 0.52225870 0.39039061 0.019300433
 [15,] 0.23708517 0.45699178 0.35833583 0.019561561
 [16,] 0.23108086 0.44539721 0.34073520 0.018424243
 [17,] 0.22551369 0.43466527 0.33189115 0.017465001
 [18,] 0.22167256 0.42725435 0.32329163 0.016948902
 [19,] 0.22231788 0.42847914 0.32640674 0.017135556
 [20,] 0.21764504 0.41947126 0.31893504 0.016346856
 [21,] 0.17049993 0.37621144 0.31289549 0.015466038
 [22,] 0.16863640 0.37213359 0.30035194 0.014665878
 [23,] 0.16209535 0.32221930 0.26452493 0.013680362
 [24,] 0.16457785 0.32714044 0.27101039 0.014062582
 [25,] 0.16476880 0.32753385 0.26120829 0.013408803
 [26,] 0.16452030 0.32701307 0.26162606 0.013419177
 [27,] 0.16423185 0.32644333 0.25934541 0.012853861
 [28,] 0.16165463 0.32132204 0.25212507 0.012432333
 [29,] 0.15922185 0.31648750 0.24828041 0.012065204
 [30,] 0.15659951 0.28549414 0.22545679 0.011440206
 [31,] 0.16616181 0.30293394 0.22765257 0.011392942
 [32,] 0.16451287 0.29992503 0.22460383 0.010984737
 [33,] 0.16228330 0.29586144 0.21904723 0.010662511
 [34,] 0.16054665 0.29269754 0.21297670 0.010300921
 [35,] 0.15922790 0.29029089 0.21053136 0.009959667
 [36,] 0.15813662 0.28830081 0.20877220 0.009853268
